"//Note: You cannot open this export file in the CSV format by double-clicking on the file."
"//Use the Excel menu command File > Open to open this file."
"$_Languages"
"9(1) English (United States)","512(32) $_Undefined"
"ST9 ","ST9 "
"ST10 WAIT FOR CAUSTIC REQUEST","ST10 WAIT FOR CAUSTIC REQUEST"
"ST11 WAIT FOR LEVEL 0142","ST11 WAIT FOR LEVEL 0142"
"ST12 WAIT FOR RETURN FLOW FS0181","ST12 WAIT FOR RETURN FLOW FS0181"
"ST13 WAIT MIN RETURN CT0182","ST13 WAIT MIN RETURN CT0182"
"ST14 WAIT FOR  CAUSTIC OK CT0182","ST14 WAIT FOR  CAUSTIC OK CT0182"
"ST15 WAIT FOR RETURN TEMP TT0180","ST15 WAIT FOR RETURN TEMP TT0180"
"ST16 WAIT FOR CAUSTIC TO FINISHED","ST16 WAIT FOR CAUSTIC TO FINISHED"
"ST17 WAIT MIN RETURN CT0182","ST17 WAIT MIN RETURN CT0182"
"ST18 WAIT FOR LOW LEVEL LSL0142","ST18 WAIT FOR LOW LEVEL LSL0142"
"ST19 ","ST19 "
"ST20 WAIT FOR RINSE REQUEST","ST20 WAIT FOR RINSE REQUEST"
"ST21 WAIT FOR LEVEL 0142","ST21 WAIT FOR LEVEL 0142"
"ST22 WAIT FOR RETURN FLOW FS0181","ST22 WAIT FOR RETURN FLOW FS0181"
"ST23 WAIT FOR RETURN TEMP TT0180","ST23 WAIT FOR RETURN TEMP TT0180"
"ST24 WAIT FOR RINSE TO FINISHED","ST24 WAIT FOR RINSE TO FINISHED"
"ST25 WAIT FOR LOW LEVEL LSL0142","ST25 WAIT FOR LOW LEVEL LSL0142"
"ST26 ","ST26 "
"ST27 ","ST27 "
"ST28","ST28"
"ST29 ","ST29 "
"ST30 WAIT FOR ACID REQUEST","ST30 WAIT FOR ACID REQUEST"
"ST31 WAIT FOR LEVEL 0142","ST31 WAIT FOR LEVEL 0142"
"ST32 WAIT FOR RETURN FLOW FS0181","ST32 WAIT FOR RETURN FLOW FS0181"
"ST33 WAIT MIN RETURN CT0182","ST33 WAIT MIN RETURN CT0182"
"ST34 WAIT FOR  ACID OK CT0182","ST34 WAIT FOR  ACID OK CT0182"
"ST35 WAIT FOR RETURN TEMP TT0180","ST35 WAIT FOR RETURN TEMP TT0180"
"ST36 WAIT FOR ACID TO FINISHED","ST36 WAIT FOR ACID TO FINISHED"
"ST37 WAIT MIN RETURN CT0182","ST37 WAIT MIN RETURN CT0182"
"ST38","ST38"
"ST39 ","ST39 "
"ST40 WAIT FOR RINSE REQUEST","ST40 WAIT FOR RINSE REQUEST"
"ST41 WAIT FOR LEVEL 0142","ST41 WAIT FOR LEVEL 0142"
"ST42 WAIT FOR RETURN FLOW FS0181","ST42 WAIT FOR RETURN FLOW FS0181"
"ST43 WAIT FOR RETURN TEMP OK TT0180","ST43 WAIT FOR RETURN TEMP OK TT0180"
"ST44 WAIT FOR FINAL RINSE TO FINISHED","ST44 WAIT FOR FINAL RINSE TO FINISHED"
"ST45 ","ST45 "
"ST46 WAIT FOR DRAIN REQUEST","ST46 WAIT FOR DRAIN REQUEST"
"ST47 WAIT FOR VALVE STATUS OK","ST47 WAIT FOR VALVE STATUS OK"
"ST48 WAIT FOR DRAIN TO FINISH","ST48 WAIT FOR DRAIN TO FINISH"
"ST49","ST49"
"DRAINING HAMBA LINE","DRAINING HAMBA LINE"
"PRODUCT FROM UHT APV","PRODUCT FROM UHT APV"
"Object Error CIP Held","Object Error CIP Held"
"Press F12 to Resume FILLER CIP","Press F12 to Resume FILLER CIP"
